shade_id,product_id,hex,shade_name,shade_specific,skintone,undertone,shade_specific_raw,name
100000,1,#f2e0b8,L2OLIVE,L2,NA,NA,L2,NA
100001,1,#f0d7ba,L2Neutral,L2,NA,Neutral,L2,NA
100002,1,#edccaa,L2PEACH,L2,NA,Peach,L2,NA
100003,1,#e9cfa3,LM2OLIVE,LM2,NA,NA,LM2,NA
100004,1,#f4c9a4,LM1COOL,LM1,NA,Cool,LM1,NA
100005,1,#eecc9e,LM1Warm,LM1,Light Medium,Warm,LM1,NA
100006,1,#e6c6a0,LM2Neutral,LM2,NA,Neutral,LM2,NA
100007,1,#f7c79b,LM2PEACH,LM2,NA,Peach,LM2,NA
100008,1,#efd4b7,LM1Neutral,LM1,NA,Neutral,LM1,NA
100009,1,#fadcc2,L1COOL,L1,NA,Cool,L1,NA
100010,1,#fbe1ba,L1Warm,L1,Light,Warm,L1,NA
100011,1,#fbe2c5,L1Neutral,L1,NA,Neutral,L1,NA
100012,1,#f9ebc7,F2OLIVE,F2,NA,NA,F2,NA
100013,1,#f8ede7,F0COOL,F0,NA,Cool,F0,NA
100014,1,#f8eeda,F1Warm,F1,Fair,Warm,F1,NA
100015,1,#d8af86,M2Neutral,M2,NA,Neutral,M2,NA
100016,1,#e2b996,M2COOL,M2,NA,Cool,M2,NA
100017,1,#d3b787,M2OLIVE,M2,NA,NA,M2,NA
100018,1,#e4be8f,M1Neutral,M1,NA,Neutral,M1,NA
100019,1,#deb68a,M1PEACH,M1,NA,Peach,M1,NA
100020,1,#e4be85,M1Warm,M1,Medium,Warm,M1,NA
100021,1,#e1b580,M3Warm,M3,Medium,Warm,M3,NA
100022,1,#deae83,M3PEACH,M3,NA,Peach,M3,NA
100023,1,#d4a162,MD1Warm,MD1,Medium Dark,Warm,MD1,NA
100024,1,#c09558,MD2OLIVE,MD2,NA,NA,MD2,NA
100025,1,#b58348,MD3Warm,MD3,Medium Dark,Warm,MD3,NA
100026,1,#c19158,MD2Neutral,MD2,NA,Neutral,MD2,NA
100027,1,#be8a5f,MD3COOL,MD3,NA,Cool,MD3,NA
100028,1,#cd9966,MD1Neutral,MD1,NA,Neutral,MD1,NA
100029,1,#c99d5b,MD1OLIVE,MD1,NA,NA,MD1,NA
100030,1,#fdeddb,F1Neutral,F1,NA,Neutral,F1,NA
100031,1,#f0dfce,F2COOL,F2,NA,Cool,F2,NA
100032,1,#693e29,RD2COOL,RD2,NA,Cool,RD2,NA
100033,1,#3e2c20,RD3COOL,RD3,NA,Cool,RD3,NA
100034,1,#664530,RD1Neutral,RD1,NA,Neutral,RD1,NA
100035,1,#693e24,RD2Neutral,RD2,NA,Neutral,RD2,NA
100036,1,#573c29,RD3Neutral,RD3,NA,Neutral,RD3,NA
